GSS Product Name,GSS Product ID,Brand,Model,Current Everyday Price,New Everyday Price,Variance In Price,% Variance,,Current Sale Price,New Sale Price,Variance In Price,% Variance
Le Specs Dirty Magic Polarised Black Rubber Grey Silver (1502123),381,Le Specs,1502123,$61.95,$52.96,-$8.99,-14.5%,,$0.00,#REF!,#REF!,#REF!
Le Specs Dirty Magic Black Grey (1802172),469,Le Specs,1802172,$52.95,$46.46,-$6.49,-12.3%,,$0.00,#REF!,#REF!,#REF!
Le Specs Dirty Magic Matte Tort Brown (1100201),267,,1100201,$52.95,$46.46,-$6.49,-12.3%,,$0.00,#REF!,#REF!,#REF!
Le Specs Escadrille Gold Green (1902010),565,Le Specs,1902010,$71.95,$60.20,-$11.75,-16.3%,,$0.00,#REF!,#REF!,#REF!
Le Specs Escadrille Polarised Gold Grey Tint (1902009),563,Le Specs,1902009,$80.95,$68.20,-$12.75,-15.8%,,$0.00,#REF!,#REF!,#REF!
Le Specs Master Tamers Matte Black Grey (1602163),397,Le Specs,1602163,$60.95,$52.96,-$7.99,-13.1%,,$0.00,#REF!,#REF!,#REF!
Le Specs No Smirking Gloss Tort Red (1602158),395,Le Specs,1602158,$69.95,$60.96,-$8.99,-12.9%,,$0.00,#REF!,#REF!,#REF!
Le Specs No Smirking Black Rubber Gold (1602145),391,,1602145,$69.95,$60.96,-$8.99,-12.9%,,$0.00,#REF!,#REF!,#REF!
Le Specs No Smirking Black Rubber Grey (1502098),375,,1502098,$69.95,$60.96,-$8.99,-12.9%,,$0.00,#REF!,#REF!,#REF!
Le Specs Rebeller Crystal Stone Khaki Gradient (1902087),10214,Le Specs,1902087,$69.95,$60.20,-$9.75,-13.9%,,$0.00,#REF!,#REF!,#REF!
Le Specs Rebeller Matte Black Grey (1902085),10213,,1902085,$69.95,$60.20,-$9.75,-13.9%,,$0.00,#REF!,#REF!,#REF!
Le Specs Tweedledum Polarised Matte Black Grey Green (1702030),411,Le Specs,1702030,$79.95,$68.96,-$10.99,-13.7%,,$0.00,#REF!,#REF!,#REF!
Le Specs Tweedledum Polarised Black Syrup Tortoiseshell Smoke (1802501),513,,1802501,$79.95,$68.96,-$10.99,-13.7%,,$0.00,#REF!,#REF!,#REF!
Oakley Batwolf Gloss Black Prizm Sapphire (9101-58),1467,Oakley,9101-58,$193.50,$187.37,-$6.13,-3.2%,,$0.00,#REF!,#REF!,#REF!
Oakley Batwolf Black Ink Prizm Black Iridium lens (9101-57),1465,,9101-57,$193.50,$187.37,-$6.13,-3.2%,,$0.00,#REF!,#REF!,#REF!
Oakley Frogskins Polarised Matte Black Prizm Black Iridium (9013-F7),10389,Oakley,9013-F7,$211.50,$204.89,-$6.61,-3.1%,,$0.00,#REF!,#REF!,#REF!
Oakley Frogskins Polarised Matte Brown Tortoiseshell Prizm Rose Gold (9013-G0),1435,,9013-G0,$211.50,$204.89,-$6.61,-3.1%,,$0.00,#REF!,#REF!,#REF!
Oakley Frogskins Polarised Matte Grey Smoke Prizm Ruby (9013-F8),1433,,9013-F8,$211.50,$204.89,-$6.61,-3.1%,,$0.00,#REF!,#REF!,#REF!
Oakley Frogskins Polarised Crystal Black Prizm Sapphire (9013-F6),1431,,9013-F6,$211.50,$204.89,-$6.61,-3.1%,,$0.00,#REF!,#REF!,#REF!
Oakley Frogskins Matte Black Prizm Violet (9013-H6),10390,Oakley,9013-H6,$157.50,$152.46,-$5.04,-3.2%,,$0.00,#REF!,#REF!,#REF!
Oakley Frogskins Polished Clear Prizm Violet (9013-H7),10391,,9013-H7,$160.95,$152.46,-$8.49,-5.3%,,$0.00,#REF!,#REF!,#REF!
Oakley Frogskins Crystal Clear Prizm Sapphire Iridium (9013-D0),1425,,9013-D0,$157.50,$152.46,-$5.04,-3.2%,,$0.00,#REF!,#REF!,#REF!
Oakley Frogskins Black Ink Prizm Ruby (9013-C9),1423,,9013-C9,$157.50,$152.46,-$5.04,-3.2%,,$0.00,#REF!,#REF!,#REF!
Oakley Frogskins Matte Tortoise Prizm Tungsten (9013-C5),1421,,9013-C5,$157.50,$152.46,-$5.04,-3.2%,,$0.00,#REF!,#REF!,#REF!
Oakley Holbrook Polarised Matte Black Sapphire Prizm (9102-F0),1503,Oakley,9102-F0,$229.50,$223.46,-$6.04,-2.6%,,$0.00,#REF!,#REF!,#REF!
Oakley Holbrook Polarised Woodgrain Prizm Deep H20 (9102-J9),10398,,9102-J9,$229.50,$223.46,-$6.04,-2.6%,,$0.00,#REF!,#REF!,#REF!
Oakley Holbrook Polarised Matte Black Prizm Tungsten (9102-D7),1501,,9102-D7,$229.50,$223.46,-$6.04,-2.6%,,$0.00,#REF!,#REF!,#REF!
Oakley Holbrook Polarised Matte Black Prizm Black Iridium Lens (9102-D6),1499,,9102-D6,$229.50,$223.46,-$6.04,-2.6%,,$0.00,#REF!,#REF!,#REF!
Oakley Holbrook Polarised Polished Black Prizm Deep H20 (9102-C1),1495,,9102-C1,$229.50,$223.46,-$6.04,-2.6%,,$0.00,#REF!,#REF!,#REF!
Oakley Holbrook Polarised Matte Woodgrain Prizm Daily (9102-B7),1493,,9102-B7,$229.50,$223.46,-$6.04,-2.6%,,$0.00,#REF!,#REF!,#REF!
Oakley Holbrook Balsam Prizm Ruby (9102-G1),1507,Oakley,9102-G1,$175.50,$170.46,-$5.04,-2.9%,,$0.00,#REF!,#REF!,#REF!
Oakley Holbrook Matte Brown Tortoiseshell Prizm Black Iridium (9102-F4),1505,,9102-F4,$175.50,$170.46,-$5.04,-2.9%,,$0.00,#REF!,#REF!,#REF!
Oakley Holbrook XL Polarised Grey Smoke Prizm Sapphire (9417-09),1743,Oakley,9417-09,$229.50,$223.46,-$6.04,-2.6%,,$0.00,#REF!,#REF!,#REF!
Oakley Holbrook XL Polarised Woodgrain Prizm Deep H20 (9417-19),10409,,9417-19,$229.50,$223.46,-$6.04,-2.6%,,$0.00,#REF!,#REF!,#REF!
Oakley Holbrook XL Polarised Black Ink Prizm Ruby (9417-08),10408,,9417-08,$229.50,$223.46,-$6.04,-2.6%,,$0.00,#REF!,#REF!,#REF!
Oakley Holbrook XL Polarised Woodgrain Prizm Tungsten (9417-06),10407,,9417-06,$230.00,$223.46,-$6.54,-2.8%,,$0.00,#REF!,#REF!,#REF!
Oakley Holbrook XL Polarised Polished Black Prizm 24K (9417-10),1745,,9417-10,$234.95,$223.46,-$11.49,-4.9%,,$0.00,#REF!,#REF!,#REF!
Oakley Holbrook XL Polarised Matte Black Prizm Black (9417-05),1741,,9417-05,$229.50,$223.46,-$6.04,-2.6%,,$0.00,#REF!,#REF!,#REF!
Oakley Holbrook XL Crystal Black Prizm Jade (9417-14),1747,Oakley,9417-14,$175.50,$170.46,-$5.04,-2.9%,,$0.00,#REF!,#REF!,#REF!
Oakley Holbrook XL Matte Brown Tortoiseshell Prizm Black Iridium (9417-02),1735,,9417-02,$175.50,$170.46,-$5.04,-2.9%,,$0.00,#REF!,#REF!,#REF!
Oakley Holbrook XL Polished Black Prizm Sapphire (9417-03),1737,,9417-03,$175.50,$170.46,-$5.04,-2.9%,,$0.00,#REF!,#REF!,#REF!
Oakley Holbrook XL Matte Black Prizm Ruby (9417-04),1739,,9417-04,$175.50,$170.46,-$5.04,-2.9%,,$0.00,#REF!,#REF!,#REF!
Carrera TopCar 1 Black Crystal Red Grey Gradient (KBO99PT),1905,Carrera,KBO99PT,$166.95,$174.10,$7.15,4.3%,,$0.00,#REF!,#REF!,#REF!
Dragon Domo Matte Woodgrain Copper Ionised (24889-229),729,Dragon,24889-229,$184.95,$175.00,-$9.95,-5.4%,,$0.00,#REF!,#REF!,#REF!
Dragon Domo Matte Black Frame Red Ionised (720-2209),1268,,720-2209,$184.95,$175.00,-$9.95,-5.4%,,$0.00,#REF!,#REF!,#REF!
Le Specs No Biggie Polarised Black Rubber Grey (1702056),415,Le Specs,1702056,$59.95,$52.20,-$7.75,-12.9%,,$0.00,#REF!,#REF!,#REF!
Oakley Fives Squared Polarised Polished Black Iridium (9238-06),1561,Oakley,9238-06,$184.50,$161.32,-$23.18,-12.6%,,$0.00,#REF!,#REF!,#REF!
Oakley Latch Matte Black Prizm Black Iridium (9265-27),1617,Oakley,9265-27,$193.50,$187.37,-$6.13,-3.2%,,$0.00,#REF!,#REF!,#REF!
Oakley Latch Matte Black Prizm Sapphire Iridium (9265-30),1619,,9265-30,$193.50,$187.37,-$6.13,-3.2%,,$0.00,#REF!,#REF!,#REF!
Oakley Turbine Rotor Polarised Polished Clear Prizm Black (9307-16),1659,Oakley,9307-16,$256.50,$249.46,-$7.04,-2.7%,,$0.00,#REF!,#REF!,#REF!
Oakley Turbine Rotor Polarised Steel Prizm Deep H20 (9307-09),1651,,9307-09,$256.50,$249.46,-$7.04,-2.7%,,$0.00,#REF!,#REF!,#REF!
Oakley Turbine Rotor Polarised Polished Black Prizm Black (9307-15),1657,,9307-15,$256.50,$249.46,-$7.04,-2.7%,,$0.00,#REF!,#REF!,#REF!
Valley DB Matte Black Black (037),10125,Valley,37,$197.95,$214.00,$16.05,8.1%,,$0.00,#REF!,#REF!,#REF!
Valley DB Indigo Tort Black (353),10269,,DB 353,$197.95,$214.00,$16.05,8.1%,,$0.00,#REF!,#REF!,#REF!
Valley DB Gloss Black Black (001),10122,,DB 001,$197.95,$214.00,$16.05,8.1%,,$0.00,#REF!,#REF!,#REF!
Valley DB Black to Tortoiseshell Black (354),929,,DB 354,$199.95,$214.00,$14.05,7.0%,,$0.00,#REF!,#REF!,#REF!
Valley DB Tort Brown (165),405,,DB 165,$199.95,$214.00,$14.05,7.0%,,$0.00,#REF!,#REF!,#REF!
Valley DB Gloss Black Black Gradient (003),211,,DB 003,$199.95,$214.00,$14.05,7.0%,,$0.00,#REF!,#REF!,#REF!
Valley DB II Matte Black Black (279),749,Valley,279,$199.95,$214.00,$14.05,7.0%,,$0.00,#REF!,#REF!,#REF!
Valley DB II Gloss Black Black Gradient (290),10263,,DB II 290,$197.95,$214.00,$16.05,8.1%,,$0.00,#REF!,#REF!,#REF!
Valley DB II Dark Tortoiseshell Brown (351),917,,DB II 351,$199.95,$214.00,$14.05,7.0%,,$0.00,#REF!,#REF!,#REF!
Valley DB II Indigo Tortoiseshell Black (292),761,,DB II 292,$199.95,$214.00,$14.05,7.0%,,$0.00,#REF!,#REF!,#REF!
Valley DB II Gloss Black Black (278),747,,DB II 278,$199.95,$214.00,$14.05,7.0%,,$0.00,#REF!,#REF!,#REF!
Arnette Burnside Polarised Matte Grey with Grey (4236 245/481),1100,Arnette,4236-245481,$157.95,$147.96,-$9.99,-6.3%,,$0.00,#REF!,#REF!,#REF!
Arnette Burnside Polarised Matte Black Grey (4236 01/81),1098,,4236-01/81,$154.95,$147.96,-$6.99,-4.5%,,$0.00,#REF!,#REF!,#REF!
Dragon Hype Matte Black Smoke (34235-002),897,Dragon,34235-002,$166.95,$166.00,-$0.95,-0.6%,,$0.00,#REF!,#REF!,#REF!
