GSS Product Name,GSS Product ID,Brand,Model,Current Everyday Price,New Everyday Price,Variance In Price,% Variance,,Current Sale Price,New Sale Price,Variance In Price,% Variance
Ray Ban 3025 Aviator Polarised Matte Gold Blue Crystal Blue Mirror (3025 112/4L),829,Ray Ban,3025-1124L,$260.95,$254.88,-$6.07,-2.3%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 3025 Aviator Polarised Black Crystal Green (3025 002/58),823,,RB3025 002/58,$260.95,$254.88,-$6.07,-2.3%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 3025 Aviator Black Green Glass (3025 L2823),837,Ray Ban,RB3025 L2823,$180.00,$150.69,-$29.31,-16.3%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 3025 Aviator Gold Green Glass (3025-L0205),835,,RB3025 L0205,$180.00,$150.69,-$29.31,-16.3%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 3025 Aviator Matte Gold Green Crystal Mirror (3025 112/19),827,Ray Ban,RB3025 112/19,$211.50,$156.19,-$55.31,-26.2%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 3025 Aviator Matte Gold Blue Crystal Mirror (3025 112/17),825,,RB3025 112/17,$211.50,$156.19,-$55.31,-26.2%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 3025 Aviator Gold Brown Gradient Glass (3025-001/51),821,Ray Ban,RB3025 00151,$189.95,$153.82,-$36.13,-19.0%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 3025 Aviator Gold Brown Mirror (3025-0013k),819,,RB3025 0013k,$189.95,$153.82,-$36.13,-19.0%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 3025 Aviator Gold Brown Glass (3025-00133),817,,RB3025 00133,$189.95,$153.82,-$36.13,-19.0%,,$0.00,#REF!,#REF!,#REF!
Arnette Witch Doctor Fuzzy Black Neon Red Mirror (4177-01),1068,Arnette,4177-01,$129.95,$121.96,-$7.99,-6.1%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 3016F Clubmaster Ebony Arista Crystal Green 55 (3016F W0365),813,Ray Ban,3016F-W0365,$184.50,$151.84,-$32.66,-17.7%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 3016F Clubmaster Mock Tortoise Arista Crystal Green 55 (3016F W0366),815,,RB3016F W0366,$184.50,$151.84,-$32.66,-17.7%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 3016 Clubmaster Mock Tortoise Arista Crystal Green 51 (3016 W0366),811,,RB3016 W0366,$184.50,$151.84,-$32.66,-17.7%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 3016 Clubmaster Ebony Arista Crystal Green 51 (3016 W0365),809,,RB3016 W0365,$184.50,$151.84,-$32.66,-17.7%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 3016 Clubmaster Sand Havana Gold Light Green Mirror Silver (3016 114/530),807,Ray Ban,3016 20/93,$206.95,$195.13,-$11.82,-5.7%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 3016 Clubmaster Sand Havana Gold Grey Mirror Blue (3016 114/517),805,,3016 15/68,$206.95,$195.13,-$11.82,-5.7%,,$0.00,#REF!,#REF!,#REF!
